path,true_label,pred_crop,pred_condition,confidence,vision_correct,vision_ms,vision_int8_cpu_ms,slm_ms,slm_gen_ms,total_ms,total_deploy_ms,answer
/kaggle/working/agriedge_bench/datasets_sorted/validation/003155.jpg,orange__shot_hole,orange,shot_hole,0.9994959831237793,True,25.79808235168457,295.43375968933105,1756.0393810272217,1046.94,1781.8374633789062,1342.373759689331,The person is likely to check for any potential hazards such as rocks or other obstacles in the area. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/003445.jpg,jamun__healthy,jamun,healthy,0.9981030225753784,True,24.559497833251953,284.82866287231445,1317.8532123565674,617.3,1342.4127101898193,902.1286628723144,Consult a healthcare professional for a proper diagnosis and treatment. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/000331.jpg,rice__hispa,rice,normal,0.822572648525238,False,24.476051330566406,291.02563858032227,1482.3274612426758,785.71,1506.8035125732422,1076.7356385803223,"You should not observe the image or its crop, as it is not appropriate for viewing. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/002121.jpg,cucumber__fresh_cucumber,cucumber,fresh_cucumber,0.9998782873153687,True,24.500370025634766,254.53948974609375,1629.0700435638428,921.9100000000001,1653.5704135894775,1176.4494897460938,You should consult a botanist or a horticulture expert for accurate identification and guidance on the best course of action. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/004188.jpg,coffee__leaf_rust,coffee,leaf_rust,0.9981683492660522,True,24.605274200439453,182.8594207763672,1630.9928894042969,911.27,1655.5981636047363,1094.1294207763672,"Take action to prevent or treat the fungal infection, ideally through proper garden management practices and professional advice if necessary. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/003980.jpg,tea__healthy,tea,healthy,0.999890923500061,True,24.630308151245117,177.10256576538086,1538.4609699249268,855.0899999999999,1563.0912780761719,1032.1925657653808,"If you notice a tea stain, rinse your hands with warm water and soap to remove the stain. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/003317.jpg,jamun__bacterial_spot,jamun,bacterial_spot,0.9247053861618042,True,24.471521377563477,174.50189590454102,1546.3976860046387,837.22,1570.8692073822021,1011.721895904541,Try to isolate the bacteria and follow a specific protocol to confirm the presence of the bacterial spot. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/002484.jpg,banana__segatoka,banana,segatoka,0.99968421459198,True,24.5664119720459,160.82406044006348,1431.457281112671,753.0,1456.0236930847168,913.8240604400635,"You should not touch the banana plant, as it can be toxic to humans. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/003904.jpg,tea__gray_blight,tea,gray_blight,0.9861985445022583,True,24.53017234802246,168.0469512939453,1716.1810398101807,988.12,1740.7112121582031,1156.1669512939452,"To treat gray_blight, you should prune the affected plant to promote healthy growth and prevent further spread of the disease. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/002933.jpg,orange__citrus_mealybugs,orange,citrus_mealybugs,0.9996814727783203,True,24.564027786254883,166.8992042541504,1524.8196125030518,842.02,1549.3836402893066,1008.9192042541504,Continue monitoring your plant for citrus mealybugs and take action if you notice the infestation. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/001789.jpg,onion__iris_yellow_virus,onion,iris_yellow_virus,0.9989758729934692,True,24.556875228881836,166.8541431427002,2021.7070579528809,1323.33,2046.2639331817627,1490.1841431427001,"If you are seeing symptoms like yellowing of leaves, you should check with your local Cooperative Extension office for advice on managing the yellowing caused by the iris_yellow_virus. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/004134.jpg,coffee__healthy,coffee,healthy,0.9992591738700867,True,24.588823318481445,292.13690757751465,1442.579746246338,753.24,1467.1685695648193,1045.3769075775147,Drink at least 8 glasses of water daily to stay hydrated. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/001140.jpg,tomato__early_blight,tomato,early_blight,0.9999076128005981,True,24.524450302124023,161.67855262756348,1770.3986167907715,1080.75,1794.9230670928955,1242.4285526275635,"To identify early-blooming tomato plants, you should continue to water the plants, but also reduce watering once the symptoms appear. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/002308.jpg,sunflower__downy_mildew,sunflower,downy_mildew,0.9924682974815369,True,24.55615997314453,177.98852920532227,1477.018117904663,797.1800000000001,1501.5742778778076,975.1685292053223,Apply a thorough layer of mulch to the affected area to help control downy mildew. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/001144.jpg,tomato__healthy,tomato,healthy,0.9012575745582581,True,24.513959884643555,180.7246208190918,1375.227451324463,698.5,1399.7414112091064,879.2246208190918,Take action to monitor the plant's condition and address any potential issues promptly. [end of text]
/kaggle/working/agriedge_bench/datasets_sorted/validation/000776.jpg,maize__common_rust,maize,common_rust,0.9999617338180542,True,24.494409561157227,169.54755783081055,1782.4273109436035,1041.0700000000002,1806.9217205047607,1210.6175578308107,"Inspect the plant for rust symptoms, and apply copper-based fungicides like Imastar or Zylkene to control rust. [end of text]"
/kaggle/working/agriedge_bench/datasets_sorted/validation/002052.jpg,cucumber__downy_mildew,cucumber,downy_mildew,0.9674584865570068,True,24.57261085510254,167.0362949371338,1909.9881649017334,1222.04,1934.560775756836,1389.0762949371338,"If you encounter a plant with the above symptoms, ensure the plant is not susceptible to downy mildew, and take appropriate measures to prevent further damage or infection. [end of text]"
